Package	LibPath	Version	Priority	Depends	Imports	LinkingTo	Suggests	Enhances	License	License_is_FOSS	License_restricts_use	OS_type	MD5sum	NeedsCompilation	Built
bridge	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.56.0		R (>= 1.9.0), rama					GPL (>= 2)					yes	4.1.0
broom.mixed	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	0.2.6			"broom, dplyr, tidyr, plyr, purrr, tibble, reshape2, nlme,
methods, stringr, coda, TMB, cubelyr"		"knitr, testthat, ggplot2, Matrix, MCMCglmm, lme4, brms, mgcv,
gamlss, gamlss.data, lmerTest, pbkrtest, glmmADMB, glmmTMB,
dotwhisker, pander, R2jags, GLMMadaptive, rstan, rstanarm"		GPL-3					no	4.1.0
BSgenome	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.60.0		"R (>= 2.8.0), methods, BiocGenerics (>= 0.13.8), S4Vectors (>=
0.17.28), IRanges (>= 2.13.16), GenomeInfoDb (>= 1.25.6),
GenomicRanges (>= 1.31.10), Biostrings (>= 2.47.6), rtracklayer
(>= 1.39.7)"	"methods, utils, stats, matrixStats, BiocGenerics, S4Vectors,
IRanges, XVector (>= 0.29.3), GenomeInfoDb, GenomicRanges,
Biostrings, Rsamtools, rtracklayer"		"BiocManager, Biobase, BSgenome.Celegans.UCSC.ce2,
BSgenome.Hsapiens.UCSC.hg38,
BSgenome.Hsapiens.UCSC.hg38.masked,
BSgenome.Mmusculus.UCSC.mm10, BSgenome.Rnorvegicus.UCSC.rn5,
BSgenome.Scerevisiae.UCSC.sacCer1,
BSgenome.Hsapiens.NCBI.GRCh38,
TxDb.Hsapiens.UCSC.hg38.knownGene,
TxDb.Mmusculus.UCSC.mm10.knownGene,
SNPlocs.Hsapiens.dbSNP144.GRCh38,
XtraSNPlocs.Hsapiens.dbSNP144.GRCh38, hgu95av2probe, RUnit"		Artistic-2.0					no	4.1.0
BSgenome.Celegans.UCSC.ce2	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.4.0		BSgenome (>= 1.33.5)	BSgenome		GenomicFeatures		Artistic-2.0						4.1.0
BSgenome.Drerio.UCSC.danRer7	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.4.0		BSgenome (>= 1.33.5)	BSgenome		GenomicFeatures		Artistic-2.0						4.1.0
BSgenome.Ecoli.NCBI.20080805	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.3.1000		BSgenome (>= 1.33.5)	BSgenome		""		Artistic-2.0						4.1.0
BSgenome.Hsapiens.UCSC.hg18	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.3.1000		BSgenome (>= 1.33.5)	BSgenome		TxDb.Hsapiens.UCSC.hg18.knownGene		Artistic-2.0						4.1.0
BSgenome.Hsapiens.UCSC.hg19	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.4.3		BSgenome (>= 1.54.0)	BSgenome		""		Artistic-2.0					no	4.1.0
BSgenome.Hsapiens.UCSC.hg38	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.4.3		BSgenome (>= 1.55.2)	BSgenome		""		Artistic-2.0					no	4.1.0
BSgenome.Mmusculus.UCSC.mm10	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.4.0		BSgenome (>= 1.33.5)	BSgenome		TxDb.Mmusculus.UCSC.mm10.knownGene		Artistic-2.0						4.1.0
bsseq	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.28.0		"R (>= 4.0), methods, BiocGenerics, GenomicRanges (>= 1.41.5),
SummarizedExperiment (>= 1.19.5)"	"IRanges (>= 2.23.9), GenomeInfoDb, scales, stats, graphics,
Biobase, locfit, gtools, data.table (>= 1.11.8), S4Vectors (>=
0.27.12), R.utils (>= 2.0.0), DelayedMatrixStats (>= 1.5.2),
permute, limma, DelayedArray (>= 0.15.16), Rcpp, BiocParallel,
BSgenome, Biostrings, utils, HDF5Array (>= 1.19.11), rhdf5"	Rcpp, beachmat	"testthat, bsseqData, BiocStyle, rmarkdown, knitr, Matrix,
doParallel, rtracklayer, BSgenome.Hsapiens.UCSC.hg38, beachmat
(>= 1.5.2), BatchJobs"		Artistic-2.0					yes	4.1.0
BufferedMatrix	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.56.0		R (>= 2.6.0), methods					LGPL (>= 2)					yes	4.1.0
BufferedMatrixMethods	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.56.0		R (>= 2.6.0), BufferedMatrix (>= 1.3.0), methods		BufferedMatrix	affyio, affy		GPL (>= 2)					yes	4.1.0
bumphunter	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.34.0		"R (>= 3.5), S4Vectors (>= 0.9.25), IRanges (>= 2.3.23),
GenomeInfoDb, GenomicRanges, foreach, iterators, methods,
parallel, locfit"	"matrixStats, limma, doRNG, BiocGenerics, utils,
GenomicFeatures, AnnotationDbi, stats"		"testthat, RUnit, doParallel, org.Hs.eg.db,
TxDb.Hsapiens.UCSC.hg19.knownGene"		Artistic-2.0					no	4.1.0
BUS	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.48.0		R (>= 2.3.0), minet	stats, infotheo				GPL-3					yes	4.1.0
bvenn	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	0.1		grid					GPL (>= 2)						4.1.0
c3net	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.1.1		R (>= 2.12.1), igraph					GPL (>= 3)						4.1.0
CAGEr	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.34.0		methods, MultiAssayExperiment, R (>= 3.5.0)	"beanplot, BiocGenerics, BiocParallel, BSgenome, data.table,
DelayedArray, formula.tools, GenomeInfoDb, GenomicAlignments,
GenomicRanges (>= 1.37.16), ggplot2 (>= 2.2.0), gtools, IRanges
(>= 2.18.0), KernSmooth, memoise, plyr, Rsamtools, reshape,
rtracklayer, S4Vectors (>= 0.27.5), som, stringdist, stringi,
SummarizedExperiment, utils, vegan, VGAM"		"BSgenome.Drerio.UCSC.danRer7, DESeq2, FANTOM3and4CAGE,
BiocStyle, knitr, rmarkdown"		GPL-3					no	4.1.0
cancerclass	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.36.0		R (>= 2.14.0), Biobase, binom, methods, stats			cancerdata		GPL 3					yes	4.1.0
CAnD	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.24.0			methods, ggplot2, reshape		RUnit, BiocGenerics, BiocStyle		Artistic-2.0					no	4.1.0
caOmicsV	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.22.0		R (>= 3.2), igraph (>= 0.7.1), bc3net (>= 1.0.2)					GPL (>=2.0)					no	4.1.0
caret	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	6.0-88		R (>= 3.2.0), lattice (>= 0.20), ggplot2	"foreach, methods, plyr, ModelMetrics (>= 1.2.2.2), nlme,
reshape2, stats, stats4, utils, grDevices, recipes (>= 0.1.10),
withr (>= 2.0.0), pROC,"		"BradleyTerry2, e1071, earth (>= 2.2-3), fastICA, gam (>=
1.15), ipred, kernlab, knitr, klaR, MASS, ellipse, Matrix, mda,
mgcv, mlbench, MLmetrics, nnet, party (>= 0.9-99992), pls,
proxy, randomForest, RANN, rmarkdown, spls, subselect, pamr,
superpc, Cubist, testthat (>= 0.9.1), rpart, dplyr, covr"		GPL (>= 2)					yes	4.1.0
caroline	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	0.7.6		R (>= 1.8.0)			sm, MASS, RSQLite, grid		Artistic-2.0					no	4.1.0
casper	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	2.26.0		R (>= 3.6.0), Biobase, IRanges, methods, GenomicRanges	"BiocGenerics (>= 0.31.6), coda, EBarrays, gaga, gtools,
GenomeInfoDb, GenomicFeatures, limma, mgcv, Rsamtools,
rtracklayer, S4Vectors (>= 0.9.25), sqldf, survival, VGAM"			parallel	GPL (>=2)					yes	4.1.0
Category	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	2.58.0		methods, stats4, BiocGenerics, AnnotationDbi, Biobase, Matrix	utils, stats, graph, RBGL, GSEABase, genefilter, annotate, DBI		"EBarrays, ALL, Rgraphviz, RColorBrewer, xtable (>= 1.4-6),
hgu95av2.db, KEGGREST, karyoploteR, geneplotter, limma,
lattice, RUnit, org.Sc.sgd.db, GOstats, GO.db"		Artistic-2.0					no	4.1.0
catnet	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.15.7		R (>= 3.0.2)	methods, stats, utils, graphics		""		GPL (>= 2)					yes	4.1.0
CausalR	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.24.0		R (>= 3.2.0)	igraph		knitr, RUnit, BiocGenerics		GPL (>= 2)					no	4.1.0
cba	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	0.2-21		R (>= 2.10), grid, proxy	stats, graphics, grDevices, methods		gclus, colorspace		GPL-2					yes	4.1.0
ccrepe	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.28.0			infotheo (>= 1.1)		knitr, BiocStyle, BiocGenerics, testthat		MIT + file LICENSE					no	4.1.0
CDFt	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.2		R (>= 1.8.0), stats					GPL (>= 2)					no	4.1.0
celldex	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.2.0		SummarizedExperiment	"utils, ExperimentHub, AnnotationHub, AnnotationDbi, S4Vectors,
DelayedArray, DelayedMatrixStats"		testthat, knitr, rmarkdown, BiocStyle, DT		GPL-3					no	4.1.0
cellHTS2	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	2.56.0		"R (>= 2.10), RColorBrewer, Biobase, methods, genefilter,
splots, vsn, hwriter, locfit, grid"	GSEABase, Category, stats4, BiocGenerics		ggplot2		Artistic-2.0					no	4.1.0
CFAssay	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.26.0		R (>= 2.10.0)					LGPL					no	4.1.0
cgdsr	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.3.0		R (>= 3.1)	R.oo, R.methodsS3, httr		testthat		LGPL-3					no	4.1.0
CGEN	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	3.28.0		R (>= 4.0), survival, mvtnorm	stats, graphics, utils, grDevices		cluster		GPL-2 + file LICENSE					yes	4.1.0
CGHbase	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.52.0		R (>= 2.10), methods, Biobase (>= 2.5.5), marray					GPL					no	4.1.0
CGHcall	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	2.54.0		"R (>= 2.0.0), impute(>= 1.8.0), DNAcopy (>= 1.6.0), methods,
Biobase, CGHbase (>= 1.15.1), snowfall"					GPL (http://www.gnu.org/copyleft/gpl.html)					no	4.1.0
cghMCR	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.50.0		methods, DNAcopy, CNTools, limma	BiocGenerics (>= 0.1.6), stats4				LGPL					no	4.1.0
chipenrich	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	2.16.0		R (>= 3.4.0)	"AnnotationDbi, BiocGenerics, chipenrich.data, GenomeInfoDb,
GenomicRanges, grDevices, grid, IRanges, lattice, latticeExtra,
MASS, methods, mgcv, org.Dm.eg.db, org.Dr.eg.db, org.Hs.eg.db,
org.Mm.eg.db, org.Rn.eg.db, parallel, plyr, rms, rtracklayer,
S4Vectors (>= 0.23.10), stats, stringr, utils"		BiocStyle, devtools, knitr, rmarkdown, roxygen2, testthat		GPL-3					no	4.1.0
chipenrich.data	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	2.16.0		R (>= 3.5.0)	"AnnotationDbi, BiocGenerics, methods, GenomicRanges,
GenomeInfoDb, IRanges, readr, rtracklayer, S4Vectors, utils"		"BiocStyle, devtools, knitr, rmarkdown, roxygen2, testthat,
GO.db, org.Dm.eg.db, org.Dr.eg.db, org.Hs.eg.db, org.Mm.eg.db,
org.Rn.eg.db, TxDb.Dmelanogaster.UCSC.dm3.ensGene,
TxDb.Dmelanogaster.UCSC.dm6.ensGene,
TxDb.Drerio.UCSC.danRer10.refGene,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Hsapiens.UCSC.hg38.knownGene,
TxDb.Mmusculus.UCSC.mm9.knownGene,
TxDb.Mmusculus.UCSC.mm10.knownGene,
TxDb.Rnorvegicus.UCSC.rn4.ensGene,
TxDb.Rnorvegicus.UCSC.rn5.refGene,
TxDb.Rnorvegicus.UCSC.rn6.refGene"		GPL-3					no	4.1.0
ChIPseeker	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.28.3		R (>= 3.5.0)	"AnnotationDbi, BiocGenerics, boot, enrichplot, IRanges,
GenomeInfoDb, GenomicRanges, GenomicFeatures, ggplot2, gplots,
graphics, grDevices, gtools, methods, plotrix, dplyr, parallel,
magrittr, RColorBrewer, rtracklayer, S4Vectors, stats,
TxDb.Hsapiens.UCSC.hg19.knownGene, utils"		"clusterProfiler, ggimage, ggplotify, ggupset, ReactomePA,
org.Hs.eg.db, knitr, rmarkdown, testthat, tibble"		Artistic-2.0					no	4.1.0
chipseq	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.42.0		"R (>= 2.10), methods, BiocGenerics (>= 0.1.0), S4Vectors (>=
0.17.25), IRanges (>= 2.13.12), GenomicRanges (>= 1.31.8),
ShortRead"	"methods, stats, lattice, BiocGenerics, IRanges, GenomicRanges,
ShortRead"		BSgenome, GenomicFeatures, TxDb.Mmusculus.UCSC.mm9.knownGene		Artistic-2.0					yes	4.1.0
ChIPXpressData	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.30.0		bigmemory					GPL (>=2)					no	4.1.0
chopsticks	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.58.0			graphics, stats, utils, methods, survival		hexbin		GPL-3					yes	4.1.0
chromPlot	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.20.0		"stats, utils, graphics, grDevices, datasets, base, biomaRt,
GenomicRanges, R (>= 3.1.0)"			qtl, GenomicFeatures, TxDb.Hsapiens.UCSC.hg19.knownGene		GPL (>= 2)					no	4.1.0
CHRONOS	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.20.0		R (>= 3.5)	"XML, RCurl, RBGL, parallel, foreach, doParallel, openxlsx,
igraph, circlize, graph, stats, utils, grDevices, graphics,
methods, biomaRt, rJava"		RUnit, BiocGenerics, knitr		GPL-2					no	4.1.0
CINdex	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.20.0		R (>= 3.3), GenomicRanges	"bitops,gplots,grDevices,som,
dplyr,gridExtra,png,stringr,S4Vectors, IRanges,
GenomeInfoDb,graphics, stats, utils"		"knitr, testthat, ReactomePA, RUnit, BiocGenerics,
AnnotationHub, rtracklayer, pd.genomewidesnp.6, org.Hs.eg.db,
biovizBase, TxDb.Hsapiens.UCSC.hg18.knownGene, methods,
Biostrings,Homo.sapiens, R.utils"		GPL (>= 2)					no	4.1.0
cisPath	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.32.0		R (>= 2.10.0)	methods, utils				GPL (>= 3)					yes	4.1.0
cleaver	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.30.0		R (>= 3.0.0), methods, Biostrings (>= 1.29.8)	S4Vectors, IRanges		"testthat (>= 0.8), knitr, BiocStyle (>= 0.0.14), rmarkdown,
BRAIN, UniProt.ws (>= 2.1.4)"		GPL (>= 3)					no	4.1.0
clippda	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.42.0		"R (>= 2.13.1),limma, statmod, rgl, lattice, scatterplot3d,
graphics, grDevices, stats, utils, Biobase, tools, methods"					GPL (>=2)					no	4.1.0
clonotypeR	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.30.0			methods		BiocGenerics, edgeR, knitr, pvclust, RUnit, vegan		file LICENSE					no	4.1.0
clst	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.40.0		R (>= 2.10)	ROC, lattice		RUnit		GPL-3					no	4.1.0
clstutils	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.40.0		R (>= 2.10), clst, rjson, ape	lattice, RSQLite		RUnit, RSVGTipsDevice		GPL-3					no	4.1.0
clustComp	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.20.0		R (>= 3.3)	sm, stats, graphics, grDevices		Biobase, colonCA, RUnit, BiocGenerics		GPL (>= 2)					no	4.1.0
clusterProfiler	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	4.0.0		R (>= 3.5.0)	"AnnotationDbi, downloader, DOSE (>= 3.13.1), dplyr, enrichplot
(>= 1.9.3), GO.db, GOSemSim, magrittr, methods, plyr, qvalue,
rlang, rvcheck, stats, tidyr, utils"		"AnnotationHub, knitr, rmarkdown, org.Hs.eg.db, prettydoc,
ReactomePA, testthat"		Artistic-2.0					no	4.1.0
ClusterR	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.2.5		R(>= 3.2), gtools	"Rcpp (>= 0.12.5), graphics, grDevices, utils, stats, gmp,
ggplot2"	Rcpp, RcppArmadillo (>= 0.9.1)	OpenImageR, FD, testthat, covr, knitr, rmarkdown		GPL-3					yes	4.1.0
clusterRepro	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	0.9		R (>= 2.2.0)					GPL-2					no	4.1.0
clusterSim	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	0.49-2		R (>= 3.5.0), cluster, MASS	ade4, e1071, rgl, R2HTML, grDevices, graphics, stats, utils		mlbench, testthat		GPL (>= 2)					yes	4.1.0
clusterStab	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.64.0		Biobase (>= 1.4.22), R (>= 1.9.0), methods			fibroEset, genefilter		Artistic-2.0					no	4.1.0
clValid	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	0.7		R (>= 3.0), cluster	methods, class		"Biobase, annotate, GO.db, moe430a.db, RankAggreg, kohonen,
mclust"		LGPL-3					no	4.1.0
CMA	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.50.0		R (>= 2.10), methods, stats, Biobase			"MASS, class, nnet, glmnet, e1071, randomForest, plsgenomics,
gbm, mgcv, corpcor, limma, st, mvtnorm"		GPL (>= 2)					no	4.1.0
cMAP	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.15.1		R(>= 2.4.0)					LGPL						4.1.0
cMap2data	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.28.0		R (>= 2.10)					GPL-3					no	4.1.0
cn.farms	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.40.0		R (>= 3.0), Biobase, methods, ff, oligoClasses, snow	DBI, affxparser, oligo, DNAcopy, preprocessCore, lattice		"pd.mapping250k.sty, pd.mapping250k.nsp, pd.genomewidesnp.5,
pd.genomewidesnp.6"		LGPL (>= 2.0)					yes	4.1.0
cn.mops	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.38.0		"R (>= 2.12), methods, utils, stats, graphics, parallel,
GenomicRanges"	"BiocGenerics, Biobase, IRanges, Rsamtools, GenomeInfoDb,
S4Vectors, exomeCopy"		DNAcopy		LGPL (>= 2.0)					yes	4.1.0
CNEr	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.28.0		R (>= 3.4)	"Biostrings (>= 2.33.4), DBI (>= 0.7), RSQLite (>= 0.11.4),
GenomeInfoDb (>= 1.1.3), GenomicRanges (>= 1.23.16),
rtracklayer (>= 1.25.5), XVector (>= 0.5.4), GenomicAlignments
(>= 1.1.9), methods, S4Vectors (>= 0.13.13), IRanges (>=
2.5.27), readr (>= 0.2.2), BiocGenerics, tools, parallel,
reshape2 (>= 1.4.1), ggplot2 (>= 2.1.0), poweRlaw (>= 0.60.3),
annotate (>= 1.50.0), GO.db (>= 3.3.0), R.utils (>= 2.3.0),
KEGGREST (>= 1.14.0)"	S4Vectors, IRanges, XVector	"Gviz (>= 1.7.4), BiocStyle, knitr, rmarkdown, testthat,
BSgenome.Drerio.UCSC.danRer10, BSgenome.Hsapiens.UCSC.hg38,
TxDb.Drerio.UCSC.danRer10.refGene, BSgenome.Hsapiens.UCSC.hg19,
BSgenome.Ggallus.UCSC.galGal3"		GPL-2 | file LICENSE		yes			yes	4.1.0
CNTools	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.48.0		R (>= 2.10), methods, tools, stats, genefilter					LGPL					yes	4.1.0
CodeDepends	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	0.6.5		methods	codetools, graph, XML, utils		Rgraphviz, RUnit, knitr, highlight, RJSONIO, RCurl, Rcpp		GPL					no	4.1.0
codelink	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.60.0		"R (>= 2.10), BiocGenerics (>= 0.3.2), methods, Biobase (>=
2.17.8), limma"	annotate		genefilter, parallel, knitr		GPL-2					no	4.1.0
CODEX	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.24.0		"R (>= 3.2.3), Rsamtools, GenomeInfoDb,
BSgenome.Hsapiens.UCSC.hg19, IRanges, Biostrings, S4Vectors"			WES.1KG.WUGSC		GPL-2					no	4.1.0
coGPS	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.36.0		R (>= 2.13.0)	graphics, grDevices		limma		GPL-2					no	4.1.0
COHCAPanno	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.28.0		R (>= 2.10)					GPL-3					no	4.1.0
colorRamps	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	2.3							GPL						4.1.0
colortools	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	0.1.5							GPL-3					no	4.1.0
compcodeR	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.28.0		sm	"tcltk, knitr (>= 1.2), markdown, ROCR, lattice (>= 0.16),
gplots, gtools, caTools, grid, KernSmooth, MASS, ggplot2,
stringr, modeest, edgeR, limma, vioplot, methods, utils, stats,
grDevices, graphics"		"BiocStyle, EBSeq, DESeq2 (>= 1.1.31), baySeq (>= 2.2.0),
genefilter, NOISeq, TCC, NBPSeq (>= 0.3.0), rmarkdown, testthat"	rpanel, DSS	GPL (>= 2)					no	4.1.0
ConsensusClusterPlus	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.56.0			Biobase, ALL, graphics, stats, utils, cluster				GPL version 2					no	4.1.0
consensusSeekeR	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.20.0		"R (>= 2.10), BiocGenerics, IRanges, GenomicRanges,
BiocParallel"	GenomeInfoDb, rtracklayer, stringr, S4Vectors, methods		BiocStyle, ggplot2, knitr, rmarkdown, RUnit		Artistic-2.0					no	4.1.0
contrast	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	0.22		R (>= 2.10)	nlme, sandwich, rms		"knitr, kableExtra, dplyr, ggplot2, tidyr, rmarkdown,
testthat, covr, geepack"		GPL-2					no	4.1.0
convert	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.68.0		"R (>= 2.6.0), Biobase (>= 1.15.33), limma (>= 1.7.0), marray,
utils, methods"					LGPL					no	4.1.0
copa	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.60.0		Biobase, methods			colonCA		Artistic-2.0					yes	4.1.0
copynumber	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.32.0		R (>= 2.10), BiocGenerics	S4Vectors, IRanges, GenomicRanges				Artistic-2.0					no	4.1.0
CORREP	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.58.0			e1071, stats		cluster, MASS		GPL (>= 2)					no	4.1.0
COSNet	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.26.0					bionetdata, PerfMeas, RUnit, BiocGenerics		GPL (>= 2)					yes	4.1.0
cp4p	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	0.3.6		R (>= 3.2.0), MESS, graphics, stats, multtest, qvalue, limma					GPL-3					no	4.1.0
cpvSNP	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.24.0		R (>= 2.10), GenomicFeatures, GSEABase (>= 1.24.0)	methods, corpcor, BiocParallel, ggplot2, plyr		"TxDb.Hsapiens.UCSC.hg19.knownGene, RUnit, BiocGenerics,
ReportingTools, BiocStyle"		Artistic-2.0					no	4.1.0
cqn	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.38.0		"R (>= 2.10.0), mclust, nor1mix, stats, preprocessCore,
splines, quantreg"	splines		scales, edgeR		Artistic-2.0					no	4.1.0
crlmm	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.50.0		"R (>= 2.14.0), oligoClasses (>= 1.21.12), preprocessCore (>=
1.17.7)"	"methods, Biobase (>= 2.15.4), BiocGenerics, affyio (>=
1.23.2), illuminaio, ellipse, mvtnorm, splines, stats, utils,
lattice, ff, foreach, RcppEigen (>= 0.3.1.2.1), matrixStats,
VGAM, parallel, graphics, limma, beanplot"	preprocessCore (>= 1.17.7)	hapmapsnp6, genomewidesnp6Crlmm (>= 1.0.7), snpStats, RUnit		Artistic-2.0					yes	4.1.0
CSAR	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.44.0		R (>= 2.15.0), S4Vectors, IRanges, GenomeInfoDb, GenomicRanges	stats, utils		ShortRead, Biostrings		Artistic-2.0					yes	4.1.0
csaw	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.26.0		GenomicRanges, SummarizedExperiment	"Rcpp, Matrix, BiocGenerics, Rsamtools, edgeR, limma, methods,
S4Vectors, IRanges, GenomeInfoDb, stats, BiocParallel, metapod,
utils"	Rhtslib, zlibbioc, Rcpp	"AnnotationDbi, org.Mm.eg.db,
TxDb.Mmusculus.UCSC.mm10.knownGene, testthat, GenomicFeatures,
GenomicAlignments, knitr, BiocStyle, rmarkdown, BiocManager"		GPL-3					yes	4.1.0
CSSP	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.30.0			methods, splines, stats, utils		testthat		GPL-2					yes	4.1.0
cubelyr	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.0.1		R (>= 3.3)	dplyr, glue, pillar, purrr, rlang, tibble, tidyselect		covr, testthat (>= 2.1.0)		MIT + file LICENSE					no	4.1.0
customProDB	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.32.0		R (>= 3.0.1), IRanges, AnnotationDbi, biomaRt(>= 2.17.1)	"S4Vectors (>= 0.9.25), DBI, GenomeInfoDb, GenomicRanges,
Rsamtools (>= 1.10.2), GenomicAlignments, Biostrings (>=
2.26.3), GenomicFeatures (>= 1.32.0), stringr, RCurl, plyr,
VariantAnnotation (>= 1.13.44), rtracklayer, RSQLite,
AhoCorasickTrie, methods"		RMariaDB, BSgenome.Hsapiens.UCSC.hg19		Artistic-2.0					no	4.1.0
cvTools	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	0.3.2		R (>= 2.11.0), lattice, robustbase	lattice, robustbase, stats				GPL (>= 2)						4.1.0
cycle	/hpc/packages/minerva-centos7/rpackages/bioconductor/3.13	1.46.0		R (>= 2.10.0), Mfuzz	Biobase, stats				GPL-2					no	4.1.0
